play,hit_concat,advancements_concat_sub,advancements_concat,AB,H,HBP,BB,1B,2B,3B,HR,R,SF,SH,
143/G-.2-3,143,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
143/G.1-2,143,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
143/G.2-3,143,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
143/G.2-3;1-2,143,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
143/G.3-H,143,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
143/G+,143,,,1,0,0,0,0,0,0,0,0,0,0,
143/G+.1-2,143,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
143/G+.3-H(UR);1-2,143,3-H;1-2,3-H;1-2,1,0,0,0,0,0,0,0,1,0,0,
143/L,143,,,1,0,0,0,0,0,0,0,0,0,0,
143/L.2-3,143,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
143/L+,143,,,1,0,0,0,0,0,0,0,0,0,0,
146(1)/FO/G,146(1),,,1,0,0,0,0,0,0,0,0,0,0,
146(1)/FO/G.3-H,146(1),3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
146(1)/FO/G.B-2(E6/TH),146(1),B-2,B-2,1,0,0,0,0,0,0,0,0,0,0,
146(1)3/GDP,146(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
15(1)3/GDP,15(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
15(2)/FO/BG.1-2,15(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
15(2)/FO/BG.1-3(E5/TH);B-2,15(2),1-3;B-2,1-3;B-2,1,0,0,0,0,0,0,0,0,0,0,
15(2)/FO/G-.1-2,15(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
15(2)/FO/G.1-2,15(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
15(2)/FO/L.1-2,15(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
15(2)3/GDP,15(2)3,,,1,0,0,0,0,0,0,0,0,0,0,
15(2)4/BG/GDP,15(2)4,,,1,0,0,0,0,0,0,0,0,0,0,
153/G,153,,,1,0,0,0,0,0,0,0,0,0,0,
153/G.1-2,153,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
153/G+,153,,,1,0,0,0,0,0,0,0,0,0,0,
153/G+.3-H;2-3;1-2,153,3-H;2-3;1-2,3-H;2-3;1-2,1,0,0,0,0,0,0,0,1,0,0,
153/L+,153,,,1,0,0,0,0,0,0,0,0,0,0,
153/SH/BG.2-3;1-2,153,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
154(1)/FO/G,154(1),,,1,0,0,0,0,0,0,0,0,0,0,
154(1)/FO/G+,154(1),,,1,0,0,0,0,0,0,0,0,0,0,
154(1)/FO/L,154(1),,,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/BG,16(1),,,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/BG-,16(1),,,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/BG.B-2(E6/TH),16(1),B-2,B-2,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/BG/DP.BX1(63/RINT),16(1),,,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/G,16(1),,,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/G-,16(1),,,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/G-.3-H,16(1),3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
16(1)/FO/G.2-3,16(1),3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/G.3-H,16(1),3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
16(1)/FO/G.3-H;2-3,16(1),3-H;2-3,3-H;2-3,1,0,0,0,0,0,0,0,1,0,0,
16(1)/FO/G.B-2(E6/TH),16(1),B-2,B-2,1,0,0,0,0,0,0,0,0,0,0,
16(1)/FO/L.3-H(UR),16(1),3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
16(1)3/BG/GDP,16(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
16(1)3/GDP,16(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
16(1)3/GDP.2-3,16(1)3,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
16(1)3/GDP.3-H(NR),16(1)3,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
16(1)4/BG/GDP,16(1)4,,,1,0,0,0,0,0,0,0,0,0,0,
16(1)4/BG/GDP.2-3,16(1)4,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
16(1)4/GDP/BG.2-3,16(1)4,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
16/L,16,,,1,0,0,0,0,0,0,0,0,0,0,
16/L/DP.1X1(63),16,,,1,0,0,0,0,0,0,0,0,0,0,
163/G,163,,,1,0,0,0,0,0,0,0,0,0,0,
163/G-.2-3,163,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
163/G-.2-3;1-2,163,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
163/G.1-2,163,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
163/G.2-3,163,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
163/G.3-H,163,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
163/G.3-H;1-2,163,3-H;1-2,3-H;1-2,1,0,0,0,0,0,0,0,1,0,0,
163/G+,163,,,1,0,0,0,0,0,0,0,0,0,0,
163/L,163,,,1,0,0,0,0,0,0,0,0,0,0,
163/L+,163,,,1,0,0,0,0,0,0,0,0,0,0,
164(1)/FO/G,164(1),,,1,0,0,0,0,0,0,0,0,0,0,
164(1)/FO/G.2-3,164(1),3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
164(1)/FO/L.2-3,164(1),3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
164(1)3/GDP,164(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
1E3/BG,1.00E+03,,,1,0,0,0,0,0,0,0,0,0,0,
1E3/G-,1.00E+03,,,1,0,0,0,0,0,0,0,0,0,0,
1E3/G.1-3,1.00E+03,3-Jan,3-Jan,1,0,0,0,0,0,0,0,0,0,0,
1E3/G.2-3,1.00E+03,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
1E3/G.2-H(NR)(UR);1-3;B-2,1.00E+03,2-H;1-3;B-2,2-H;1-3;B-2,1,0,0,0,0,0,0,0,1,0,0,
1E3/SH/BG.1-3,1.00E+03,3-Jan,3-Jan,0,0,0,0,0,0,0,0,0,0,1,
1E4/BG/SH.2-3,1.00E+04,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
1E4/G.3-H;1-2,1.00E+04,3-H;1-2,3-H;1-2,1,0,0,0,0,0,0,0,1,0,0,
1E6.B-1,1.00E+06,B-1,B-1,1,0,0,0,0,0,0,0,0,0,0,
1E6/TH,1.00E+06,,,1,0,0,0,0,0,0,0,0,0,0,
2(3)/FO/G-.2-3;1-2,2(3),2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
2(3)2/GDP.2-3;1-2,2(3)2,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
2/BG,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BG/BINT,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BG/BINT.2-2,2,2-Feb,2-Feb,1,0,0,0,0,0,0,0,0,0,0,
2/BG/BINT.2-2;1-1,2,2-2;1-1,2-2;1-1,1,0,0,0,0,0,0,0,0,0,0,
2/BOOT,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP/P2F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP2F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP2F-,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP2F/BINT,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP2F/DP.1X1(23),2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP2F/DP.2X2(26),2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP3F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/BP5F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/G,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/G-,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/G-/BINT,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/G-/BINT.2-2;1-1,2,2-2;1-1,2-2;1-1,1,0,0,0,0,0,0,0,0,0,0,
2/G.2-3,2,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
2/G/BINT,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/G/BINT.1-1,2,1-Jan,1-Jan,1,0,0,0,0,0,0,0,0,0,0,
2/P,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P/IF,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P2F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P2F-,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P2F/BINT,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P3F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P3F-,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P5F,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/P5F-,2,,,1,0,0,0,0,0,0,0,0,0,0,
2/SH/BG.2-3;1-2,2,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
23/BG,23,,,1,0,0,0,0,0,0,0,0,0,0,
23/BG-/SH.1-2,23,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
23/BG.1-2,23,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
23/BG.2-3,23,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
23/BG/BINT,23,,,1,0,0,0,0,0,0,0,0,0,0,
23/BG/SH.1-2,23,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
23/BG/SH.2-3,23,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
23/BG/SH.2-3;1-2,23,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
23/BG/SH.3-3;1-2,23,3-3;1-2,3-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
23/BG/SH.3-H,23,3-H,3-H,0,0,0,0,0,0,0,0,1,0,1,
23/G,23,,,1,0,0,0,0,0,0,0,0,0,0,
23/G-,23,,,1,0,0,0,0,0,0,0,0,0,0,
23/G-.1-2,23,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
23/G-.2-3,23,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
23/G-.2-3;1-2,23,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
23/G-.3-H,23,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
23/G-.3-H;1-2,23,3-H;1-2,3-H;1-2,1,0,0,0,0,0,0,0,1,0,0,
23/G.1-2,23,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
23/G.2-3;1-2,23,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
23/G/BINT,23,,,1,0,0,0,0,0,0,0,0,0,0,
24(1)/FO/BG,24(1),,,1,0,0,0,0,0,0,0,0,0,0,
24(1)/FO/G,24(1),,,1,0,0,0,0,0,0,0,0,0,0,
24(1)/FO/G-,24(1),,,1,0,0,0,0,0,0,0,0,0,0,
24(1)/FO/P,24(1),,,1,0,0,0,0,0,0,0,0,0,0,
24/BG,24,,,1,0,0,0,0,0,0,0,0,0,0,
24/BG-/SH.1-2,24,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
24/BG-/SH.2-3;1-2,24,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
24/BG/BINT.1-1,24,1-Jan,1-Jan,1,0,0,0,0,0,0,0,0,0,0,
24/BG/SH.1-2,24,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
24/BG/SH.2-3,24,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
24/BG/SH.2-3;1-2,24,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
24/BG/SH.2-H;1-2,24,2-H;1-2,2-H;1-2,0,0,0,0,0,0,0,0,1,0,1,
24/BG/SH.3-3;1-2,24,3-3;1-2,3-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
24/BG/SH.3-H(UR);1-2,24,3-H;1-2,3-H;1-2,0,0,0,0,0,0,0,0,1,0,1,
25(2)/FO/BG.1-2,25(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
25(2)/FO/BG.1-H(E5/TH)(NR);B-2,25(2),1-H;B-2,1-H;B-2,1,0,0,0,0,0,0,0,1,0,0,
25(2)/FO/G-.1-2,25(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
25(2)/FO/G.1-2,25(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
25(2)3/BG/GDP,25(2)3,,,1,0,0,0,0,0,0,0,0,0,0,
25(2)4/BG/GDP.1-2,25(2)4,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
26(1)/FO/BG,26(1),,,1,0,0,0,0,0,0,0,0,0,0,
26(1)/FO/BP,26(1),,,1,0,0,0,0,0,0,0,0,0,0,
26(1)/FO/G-,26(1),,,1,0,0,0,0,0,0,0,0,0,0,
26(1)3/BG/GDP,26(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
26(1)3/GDP,26(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
26(1)4/BG/GDP,26(1)4,,,1,0,0,0,0,0,0,0,0,0,0,
26(2)/FO/BG.1-2,26(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
26(2)/FO/BG.1-3(E6/TH),26(2),3-Jan,3-Jan,1,0,0,0,0,0,0,0,0,0,0,
2E3/BG.B-2,2.00E+03,B-2,B-2,1,0,0,0,0,0,0,0,0,0,0,
2E3/G-,2.00E+03,,,1,0,0,0,0,0,0,0,0,0,0,
2E4/BG/SH.1-2,2.00E+04,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
2E4/BG/SH.2-3,2.00E+04,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
3(1)31/GDP,3(1)31,,,1,0,0,0,0,0,0,0,0,0,0,
3(B)2(3)/GDP,3(B)2(3),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)2(3)/GDP.2-3;1-2,3(B)2(3),2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
3(B)253(3)/GDP,3(B)253(3),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)3(1)/GDP,3(B)3(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)36(1)/GDP,3(B)36(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)4(1)/GDP,3(B)4(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)43(1)/GDP,3(B)43(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)5(1)/GDP,3(B)5(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)53(1)/GDP,3(B)53(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)6(1)/GDP,3(B)6(1),,,1,0,0,0,0,0,0,0,0,0,0,
3(B)6(1)/GDP.3-H(NR),3(B)6(1),3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
3(B)61(1)/GDP,3(B)61(1),,,1,0,0,0,0,0,0,0,0,0,0,
